Collection ID,Form ID,State,Year,Serial_agar_dilution for creating the model  (N= 20),Field,County,hyphal_tip (ht),DNA Extraction,Location of field,Size of field (acres),Percentage Affected,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Products,Timing,Pre-2015 Fungicides,Number of Years,Products: Soybean,Timing: Soybean,Notes,Apparently low sensitiviy
,Sc15-06-01,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-02,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-03,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-04,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-05,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-06,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-07,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-08,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-09,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-06-10,NE,2015,No,Survey,Cedar,No,No,42.65280 N 97.29730 W,80-160,10,N,,Y,N,N,Priaxor,R3,Y,4,"Headline, Priaxor",R3-R4,Creek 160,
,Sc15-08-06,NE,2015,No,Survey,Greeley,No,No,41.6148 N 98.3539 W,80-160,40,Y,6,Y,Y,Y,Stratego YLD-7,R3,Y,3,Stratego YLD,,,Prothioconazole
,Sc15-08-07,NE,2015,No,Survey,Greeley,No,No,41.6148 N 98.3539 W,80-160,40,Y,6,Y,Y,Y,Stratego YLD-7,R3,Y,3,Stratego YLD,,,Prothioconazole
,Sc15-08-08,NE,2015,No,Survey,Greeley,No,No,41.6148 N 98.3539 W,80-160,40,Y,6,Y,Y,Y,Stratego YLD-7,R3,Y,3,Stratego YLD,,,Prothioconazole
,Sc15-08-09,NE,2015,No,Survey,Greeley,No,No,41.6148 N 98.3539 W,80-160,40,Y,6,Y,Y,Y,Stratego YLD-7,R3,Y,3,Stratego YLD,,,Prothioconazole
,Sc15-08-10,NE,2015,No,Survey,Greeley,No,No,41.6148 N 98.3539 W,80-160,40,Y,6,Y,Y,Y,Stratego YLD-7,R3,Y,3,Stratego YLD,,,Prothioconazole
,Sc15-09-06,NE,2015,No,Survey,Greeley,No,No,"41.684477 N, 98.367365W",80-160,40,N,,N,N,N,,,N,,,,,
,Sc15-09-07,NE,2015,No,Survey,Greeley,No,No,"41.684477 N, 98.367365W",80-160,40,N,,N,N,N,,,N,,,,,
,Sc15-09-08,NE,2015,No,Survey,Greeley,No,No,"41.684477 N, 98.367365W",80-160,40,N,,N,N,N,,,N,,,,,
,Sc15-09-09,NE,2015,No,Survey,Greeley,No,No,"41.684477 N, 98.367365W",80-160,40,N,,N,N,N,,,N,,,,,
,Sc15-09-10,NE,2015,No,Survey,Greeley,No,No,"41.684477 N, 98.367365W",80-160,40,N,,N,N,N,,,N,,,,,
,Sc15-10-06,NE,2015,No,Survey,Madison,No,No,"41.959530N, 97.762956 W",80-160,60,N,,Y,N,Y,T-Methyl,,N,,,,AG2431 Croplan 2501,
