Collection ID,Form ID,State,Year,Serial_agar_dilution for creating the model  (N= 20),Field,County,hyphal_tip (ht),DNA Extraction,Location of field,Size of field (acres),Percentage Affected,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Products,Timing,Pre-2015 Fungicides,Number of Years,Products: Soybean,Timing: Soybean,Notes,Apparently low sensitiviy
,Sc15-MTCLM-09-TR27-01,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-02,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-03,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-04,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-05,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-06,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-09-TR27-07,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-01,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-02,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-03,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-04,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-05,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-06,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-07,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-08,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-09,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-56-TR27-10,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-01,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-02,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-03,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-04,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-05,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-06,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-07,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-08,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-09,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-105-TR27-10,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-01,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-02,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-03,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-04,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-05,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-06,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-07,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
,Sc15-MTCLM-144-TR27-08,MI,2015,No,trial,Montcalm,No,No,"43.352 N, 85.178 W",,,,,,,,Aproach SC Induce,9 fl oz/A 0.25% v/v,"R1, R3",,,,,
