Collection_ID,Field,Form ID,State,Year,Serial_agar_dilution_for_creating_the_model_ (N=20),Origin,County,hyphal_tip (ht),DNA Extraction,lat,long,Size of field (acres),Percentage Affected ,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Products,Timing,Pre-2015 Fungicides,Number of Years,Products_Soybean,Timing: Soybean,Notes,Apparently low sensitiviy,
1025,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #8 Plot 403 Stratego YLD at R3 (see special notes),,,,,,,,,,,,,
1026,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #4 Plot 402 Priaxor  at R1 (see special notes),,,,,,,,,,,,,
1027,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #2 Plot 304 Topguard at R1 (see special notes),,,,,,,,,,,,,
1028,po,,IA,2016,No,trial,Polk ,No,No,41.5904,93.3835,,,Johnston Treatment #7 Plot 302 Priaxor at R1 (see special notes),,,,,,,,,,,,,
1029,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #3 Plot 301 Headline at R1 (see special notes),,,,,,,,,,,,,
1030,po,,IA,2016,No,trial,Polk ,No,No,41.5904,93.3835,,,Johnston Treatment #9 Plot 204 Quadris Top SBX at R3 (see special notes),,,,,,,,,,,,,
1031,po,,IA,2016,No,trial,Polk ,No,No,41.5904,93.3835,,,Johnston Treatment #3 Plot 202 Headline at R1 (see special notes),,,,,,,,,,,,,
1032,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #4 Plot 104 Priaxor at R1 (see special notes),,,,,,,,,,,,,
1033,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #3 Plot 103 Headline at R1 (see special notes),,,,,,,,,,,,,
1034,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #2 Plot 102 Topguard at R1 (see special notes),,,,,,,,,,,,,
1035,po,,IA,2016,No,trial,Polk ,Yes,No,41.5904,93.3835,,,Johnston Treatment #5 Plot 404 Topguard at R3 (see special notes),,,,,,,,,,,,,
1036,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #1 10-21-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1037,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #2 10-21-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
