State,County,Field,long,lat
IA,Floyd,flo,-92.57487,42.931478
NE,Holt,ho,-99.147223,42.646641
NE,Antelope,an,-98.112189,42.194724
NE,Dodge,dod,-96.61944444,41.68318056
NE,Valley,va,-98.96416667,41.63666667
WI,Sauk City,sa,-89.638891,43.222372
WI,Cuba City,cu,-90.45658,42.594804
NE,Antelope,ant,-97.9712,42.3461
NE,Holt,holt,-98.893336,42.667724
SINALOA,El_Fuerte,arr,-108.866155,25.819059
SINALOA,Sinaloa_ de_leyva,pre,-108.538957,25.767354
SINALOA,Guasave,ru,-108.711674,25.710166
SINALOA,Guasave,ca,-108.779133,25.657675
SINALOA,Ahome,st,-108.859751,25.777389
NE,Cedar,6,-97.2973,42.6528
NE,Greeley,8,-98.3539,41.6148
NE,Greeley,9,-98.367365,41.684477
NE,Madison,10,-97.762956,41.95953
NE,Madison,11,-97.723991,41.79508
NE,Boone,18,-98.093961,41.8830333
NE,Boone,19,-98.08908,41.8757556
NE,Boone,20,-97.9056416,41.8615472
NE,Antelope,21,-97.944825,41.973491
NE,Antelope,22,-98.099471,41.974958
NE,Antelope,23,-98.099471,41.974958
NE,Antelope,24,-98.238684,42.070718
NE,Antelope,25,-98.025694,42.120722
NE,Dodge,34,-96.642922,41.751242
NE,Dodge,35,-96.626387,41.765861
NE,Boone,45,-97.88607,41.8687889
NE,Boone,46,-97.89613,41.8690083
NE,Holt,47,-98.324697,42.162042
NE,Boone,48,-98.0606027,41.8685306
NE,Boone,48,-98.06055556,41.86853056
NE,Sherman,60,-99.012641,41.375732
NE,Kearney,62,-98.823869,40.410571
NE,Cuming,66,-96.640897,41.763452
NE,Cedar,67,-97.3541,42.55724
NE,Greeley,68,-98.354464,41.681822
NE,Antelope,69,-98.356256,41.68444
NE,Cedar,78,-97.04809,42.66064
NE,Pierce,97,-97.39894,42.09579
NE,Cedar,98,-97.19746,42.51926
NE,Knox,99,-97.69278,42.59583
NE,Cedar,100,-97.32608,42.64422
NE,Cedar,101,-97.35533,42.61699
NE,Antelope,102,-97.97488,41.945614
NE,Antelope,103,-97.931081,42.222776
NE,Kearney,104,-98.235265,42.298749
NE,Kearney,10,-98.235265,42.298749
MI,Allegan,Al,-86.009,42.695
MI,Hillsdale,Hi,-84.703,41.839
MI,Ingham,In,-84.498,42.69
MI,Montcalm ,mont,-85.178,43.352
MI,Sandborn,Sand,-84.956,42.803
MI,Sanilac,Sani,-82.799,43.465
MI,St.Joseph,St,-85.433,41.998
IA,Howard,howard,-92.175679,43.212903
IA,Chickasaw,chi,-92.31171,43.00769
IA,Floyd,floyd,-92.569856,42.936215
IA,Story,sto,-93.660359,42.005131
IA,Shelby,sh,-95.198044,41.836189
IA,Benton,be,-91.9907837,42.0175743
IA,Tama,ta,-92.377594,42.106266
WI,Waushara,wau,-89.544736,44.1131
WI,Grant,la,-90.741413,42.932653
WI,Iowa,co,-90.195874,42.594079
WI,Rock,cern,-88.64274,42.53112
WI,Rock,cer,-88.6954,42.52976
